TRAIT MEAN VARIANCE HERITABILITY				
Clostridium_XlVa 8.202 6.743 0.3
Roseburia 8.806 7.477 0.3
Anaerostipes 7.496 9.428 0.3
Escherichia/Shigella 7.039 13.646 0.3
Dialister 6.732 15.838 0.3
Alistipes 8.578 8.798 0.3
Bacteroides 9.423 2.782 0.3
Barnesiella 7.172 14.572 0.3
Odoribacter 7.131 12.300 0.3
Parabacteroides 8.733 9.525 0.3
Bilophila 7.133 14.006 0.3
Parasutterella 7.096 13.389 0.3
Anaerotruncus 8.201 8.747 0.3
Faecalibacterium 8.572 8.696 0.3
Subdoligranulum 8.207 11.423 0.3
Ruminococcus 7.296 14.424 0.3
Clostridium_IV 8.369 7.271 0.3
Flavonifractor 7.711 9.434 0.3
Pseudoflavonifractor 7.820 10.562 0.3
Oscillibacter 8.761 8.625 0.3
Blautia 8.170 6.501 0.3
Ruminococcus2 8.154 8.386 0.3
